日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240930,2613,Ｊ－オイルミルズ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2620,ｉシェアーズ　米国債１－３年　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2621,ｉシェアーズ　米国債２０年超　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2622,ｉシェアーズ　米ドル建て新興国債券　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2623,ｉシェアーズ　ユーロ建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2624,ｉＦｒｅｅＥＴＦ　日経２２５（年４回決算型）,ETF・ETN,-,-,-,-,-,-
20240930,2625,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年４回決算型）,ETF・ETN,-,-,-,-,-,-
20240930,2626,グローバルＸ　デジタル・イノベーション－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2627,グローバルＸ　ｅコマース－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2628,ｉＦｒｅｅＥＴＦ　中国科創板５０（ＳＴＡＲ５０）,ETF・ETN,-,-,-,-,-,-
20240930,2629,ｉＦｒｅｅＥＴＦ　中国グレーターベイエリア・イノベーション１００（ＧＢＡ１００）,ETF・ETN,-,-,-,-,-,-
20240930,2630,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2631,ＭＡＸＩＳナスダック１００上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2632,ＭＡＸＩＳナスダック１００上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2633,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2634,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2635,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　ＥＳＧ指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2636,グローバルＸ　ＭＳＣＩ　ガバナンス・クオリティ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2637,グローバルＸ　クリーンテック－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2638,グローバルＸ　ロボティクス＆ＡＩ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2639,グローバルＸ　バイオ＆メドテック－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2640,グローバルＸ　ゲーム＆アニメ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2641,グローバルＸ　グローバルリーダーズ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2642,ＳＭＴ　ＥＴＦカーボン・エフィシェント日本株,ETF・ETN,-,-,-,-,-,-
20240930,2643,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパンカントリーＥＳＧリーダーズ指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2644,グローバルＸ　半導体関連－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2645,グローバルＸ　レジャー＆エンターテインメント－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2646,グローバルＸ　メタルビジネス－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2647,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2648,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2649,ｉシェアーズ　米国政府系機関ジニーメイＭＢＳ　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2652,まんだらけ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2653,イオン九州,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2654,アスモ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2656,ベクターホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2659,サンエー,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240930,2664,カワチ薬品,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240930,2666,オートウェーブ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2667,イメージ　ワン,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240930,2668,タビオ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240930,2669,カネ美食品,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2670,エービーシー・マート,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20240930,2673,夢みつけ隊,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2674,ハードオフコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240930,2676,高千穂交易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240930,2678,アスクル,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240930,2681,ゲオホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240930,2683,魚喜,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2685,アダストリア,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240930,2686,ジーフット,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240930,2687,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240930,2689,オルバヘルスケアホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240930,2692,伊藤忠食品,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240930,2693,ＹＫＴ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240930,2694,焼肉坂井ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2695,くら寿司,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20240930,2698,キャンドゥ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20240930,2700,木徳神糧,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240930,2702,日本マクドナルドホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2705,大戸屋ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20240930,2708,久世,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20240930,2715,エレマテック,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20240930,2721,ジェイホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
